object_type,type,rooms,level,kitchen_area,living_area,area,price_by_meter,price,material,published,updated,build_year,build_serias,build_type,max_levels,min_levels,rubbish_chute,enterances,build_overlap,build_walls,heating,gas,longitude,latitude,agencyName,areaRating,city,remoute_from_center,build_oldest
0,Многоквартирный дом,2,13/21,13.0,36.0,65.0,1538.0,100000.0,Монолит,5/2/2022,7/2/2022,2017,Индивидуальный,0,22,20,Есть,2,Железобетонные,Монолитные,Центральное,Нет,37.471533,55.693296999999994,НИКА,4.0938087,Москва,11.17803039281805,new
0,Многоквартирный дом,2,15/27,5.0,26.0,45.0,1778.0,80000.0,Блоки,7/2/2022,10/2/2022,2020,Индивидуальный,0,27,24,Есть,1,Железобетонные,Железобетон,Индивидуальный тепловой пункт (ИТП),Нет,37.50027,55.767483999999996,"""СТОЛИЦА"" Департамент Недвижимости",3.8112602,Москва,7.434643819566558,new
0,Многоквартирный дом,2,13/44,10.0,40.0,50.0,2800.0,140000.0,Монолит,6/4/2021,10/2/2022,2018,индивидуальный проект,0,44,0,0,0,Железобетонные,Монолитные,Центральное,0,37.564212,55.77080600000001,Алита,3.8417494,Москва,3.830492523346236,new
0,Квартира,3,6/17,14.2,42.7,80.3,747.0,60000.0,Панель,7/2/2022,10/2/2022,0,0,0,0,0,0,0,0,0,0,0,37.599528,55.556093000000004,"Агентство недвижимости ""Мегаполис-Сервис ЭстейтЛига"", Москва",3.8388906000000005,Москва,21.859211399831267,new
0,Многоквартирный дом,0,12/16,,20.0,40.0,1875.0,75000.0,Блоки,8/2/2022,10/2/2022,1975,П-68,0,16,16,Есть,1,Железобетонные,Блочные,Центральное,Нет,37.643578999999995,55.774122,Агенство,3.4504762,Москва,3.0066483895728195,old
0,Многоквартирный дом,3,5/7,10.0,,90.0,2878.0,259000.0,Монолит,8/2/2022,8/2/2022,1981,индивидуальный проект,0,7,7,Есть,1,Железобетонные,Кирпич,Центральное,Да,37.590228,55.763518000000005,OXE CAPITAL,3.8417494,Москва,2.027723613853622,old
0,Многоквартирный дом,3,19/20,15.0,58.0,110.0,2727.0,300000.0,Монолит,7/2/2022,10/2/2022,2010,индивидуальный проект,0,20,20,Есть,1,Железобетонные,Монолитные,Центральное,Нет,37.470392,55.77393000000001,Общество с ограниченной ответственностью «НИКА ЭСТЭЙТ»,3.8112602,Москва,9.427885035523452,new
0,Многоквартирный дом,1,4/14,9.0,17.0,36.0,1528.0,55000.0,Кирпич,8/2/2022,10/2/2022,2001,индивидуальный проект,0,14,0,Есть,6,Железобетонные,Кирпич,Центральное,Нет,37.62634,55.721483,авалон,3.7627811,Москва,3.488519040390491,middle
0,Многоквартирный дом,3,7/9,20.0,60.0,90.0,1167.0,105000.0,Панель,8/2/2022,8/2/2022,2000,П-3м,0,17,17,Есть,4,Железобетонные,Панельные,Центральное,Нет,37.5717480913003,55.79948687870029,Ксения,3.7252023000000003,Москва,5.937485309834164,middle
0,Многоквартирный дом,2,5/9,6.0,23.0,38.0,974.0,37000.0,Кирпич,7/2/2022,7/2/2022,1963,II-18,0,9,0,Есть,1,Железобетонные,Панельные,Центральное,Да,37.507825,55.667828,АН Центр Загородной Недвижимости,4.0779476,Москва,11.58209162207016,old
